index,department,organization,notice,company,part,apply_start,apply_end,object,overview,tag,filename,budget,deadline
412,충청북도,청주상공회의소,[충북] 2023년 사회적경제기업 혁신일자리사업 참여기업 모집 공고,중소기업,인력,2022-11-28,2022-12-12,국내일반인력,"충북지역 청년인력의 역외 유출 억제 및 지역 내 사회적경제기업의 일자리 연계를 위하여 청년취업자 인건비, 주거ㆍ교통비 등을 지원해 드리는 사업입니다.☞ 도내 거주하는 청년 채용이 가능한 충청북도 소재 사회적경제기업☞ 사회적경제기업에 채용된 청년취업자 인건비, 주거ㆍ교통비 등 지원","인력,충북,충청북도,사회적경제기업,인건비,청주상공회의소,청년채용,2023,교통비,주거비,청년취업자",[공고] 2023년 사회적경제기업 혁신일자리사업 참여기업 모집 공고문.hwp,지원금,모집종료
413,경기도,기초자치단체,[경기] 성남시 2022년 하반기 청년고용우수기업 모집 공고,중소기업,인력,2022-12-05,2022-12-09,국내일반인력,경기 성남시 내 고용창출 분위기를 확산시키고자 청년 일자리 창출에 기여한 기업을 선정하여 인증서 교부 및 각종 인센티브를 지원해 드리는 사업입니다.☞ 경기 성남시 관내 2년 이상 정상 운영 중인 상시 근로자 5인 이상 중소기업※ 기준일(2022. 11. 30.) 직전 연평균 고용인원 증가율 10%이상이고 고용인원이 2명 이상 증가한 기업체 ☞ 청년고용우수기업 인증 및 인센티브 지원,"인력,기타,경기,2022,중소,청년,경기도,기초자치단체,성남시,고용창출,인센티브,인증서,청년고용우수기업",[붙임]2022 하반기 『청년고용우수기업』 모집 공고.hwp,"컨설팅, 인력 등 지원",모집종료
414,경기도,기초자치단체,[경기] 성남시 2022년 하반기 고용우수기업 모집 공고,중소기업,인력,2022-12-05,2022-12-09,고용환경개선,경기 성남시 내 고용창출 분위기를 확산시키고자 일자리 창출에 기여한 기업을 선정하여 인증서 교부 및 각종 인센티브를 지원해 드리는 사업입니다.☞ 경기 성남시 관내 2년 이상 정상 운영 중인 상시 근로자 5인 이상 중소기업※ 기준일(2022. 11. 30.) 직전 연평균 고용인원 증가율 10%이상이고 고용인원이 2명 이상 증가한 기업체 ☞ 고용우수기업 인증 및 인센티브 지원,"인력,기타,경기,2022,중소,경기도,기초자치단체,성남시,고용창출,인센티브,고용우수기업,인증서",[붙임]2022 하반기 『고용우수기업』 모집 공고.hwp,"컨설팅, 인력 등 지원",모집종료
415,대전광역시,직접수행,[대전] 2023년 지역주도형 청년일자리 사업 참여기업 모집 통합 공고,벤처기업,인력,사업별 상이,-,국내일반인력,조기종료 자동처리,"인력,대전,사회적기업,직접수행,대전광역시,일자리,중소,청년,인건비,벤처,2023",2023년 지역주도형 청년일자리 사업 통합공고.hwp,"컨설팅, 인력 등 지원",모집종료
416,충청북도,충청북도기업진흥원,[충북] 2023년 경제자유구역 바이오헬스 청년일자리 지원 모집 공고(지역주도형 청년일자리사업),중소기업,인력,2022-11-25,2022-12-09,국내일반인력,충북경제자유구역 바이오헬스 기업을 대상으로 청년일자리 창출 촉진을 위하여 신규 채용 청년 인건비를 지원해 드리는 사업입니다.☞ 충북경제자유구역 내 바이오헬스 기업   ☞ 청년 인건비 신규 채용 청년 1인당 최대 월 200만원 지원,"인력,충북,충청북도기업진흥원,충청북도,바이오헬스,인건비,청년일자리,청년채용,경제자유구역,2023",2023경자청바이오헬스 기업모집 공고문 (최종).pdf,1인당 월 200만원,모집종료
417,충청북도,충북테크노파크,[충북] 2023년 주력산업 혁신성장기업 청년전문인력 채용지원사업 공고(지역주도형 청년 일자리사업),중소기업,인력,2022-11-25,2022-12-23,국내일반인력,"충청북도 주력산업 관련 기업의 일자리 창출 및 주력산업 육성을 도모하기 위하여 청년인력의 채용 시 인건비 등을 지원해 드리는 사업입니다.☞ 충북 주력산업(지능형IT부품산업, 바이오헬스산업, 수송기계소재부품산업) 전후방 관련 혁신성장기업 ☞ 인건비 1인당 월 200만원 등 지원","인력,충북,충청북도,충북테크노파크,인건비,채용,청년인력,2023,청년전문인력,혁신성장기업",174515_붙임1. 사업공고문.hwp,1인당 월 200만원,모집종료
418,경상북도,기초자치단체,[경북] 영양군 2023년 지역주도형 청년일자리사업 참여기업 모집 공고,중소기업,인력,2022-11-23,2022-11-29,국내일반인력,"영양군은 기업과 청년의 일자리 부조화를 해소하고, 청년 일경험과 직무능력 향상을 도모하기 위하여 중소기업을 대상으로 청년 고용에 따른 인건비 일부를 지원해 드리는 사업입니다.☞ 영양군 소재 중소기업으로 39세 이하 청년 채용 계획이 있는 기업 ☞ 인건비, 여비, 자격증 취득비, 교통비 등 지원","인력,경북,중소기업,경상북도,기초자치단체,인건비,청년일자리,2023,교통비,영양군",공고문(2023년 지역주도형 청년일자리 참여기업 모집공고).pdf,지원금,모집종료
419,강원도,기초자치단체,[강원] 춘천시 2023년 축산농가 도우미 지원사업 공고,중소기업,인력,2022-11-24,2022-12-09,고용유지,"축산농가 복지 증진 및 후계자(축산업 신규 종사자)양성을 도모하기 위하여 축산농가에 전문 도우미 요원을 지원해 드리는 사업입니다.☞ 춘천 지역 소재 축산업에 등록ㆍ허가 된 한우ㆍ젖소 사육농가  ☞ 축산(한우, 젖소)농가를 위한 전문 도우미 운영 및 지원","인력,경영,강원,강원도,기초자치단체,축산업,춘천시,사육농가,2023,축산농가,도우미,전문도우미",2023년 축산농가 도우미 지원 사업 공고.hwp,"컨설팅, 인력 등 지원",모집종료
420,경상남도,직접수행,[경남] 2023년 청년 농식품수출 마케터 참여 사업장 모집 공고(지역주도형 청년일자리사업),중소기업,인력,2022-12-05,2022-12-09,국내일반인력,"경남 도내 청년에게 적합한 지역 일자리를 제공하여 지역사회 정착 기반을 마련하고 도내 농식품수출 기업들의 포스트 코로나시대 적응 및 수출 경쟁력 제고를 위해 인건비, 교육, 현장활동, 주거비 및 교통비 등을 지원해 드리는 사업입니다.☞ 경상남도 지정 수출농업단지 및 농식품가공 수출전문업체☞ 수출농단 및 업체 청년채용 인건비, 자율지원비, 기타지원금 등 지원","인력,수출,경영,경남,교육,직접수행,경상남도,인건비,농식품,2023,교통비,수출마케터,청년일자리사업,수출농업단지,주거비,농식품가공,수출전문업체",23년 지역주도형 청년일자리사업(경남 청년 농식품수출 마케터) 참여 사업장 모집 공고.hwp,지원금,모집종료
421,제주특별자치도,직접수행,[제주] 2022년 2차 코로나19 피해 어선원 가계안정 자금(제7차 민생경제회복 재난긴급생활지원금) 지원계획 공고,중소기업,인력,2022-11-23,2022-12-02,고용유지,"코로나19로 인한 어획량감소에 따라 임금하락 등 피해를 받고 있는 어선원을 대상으로 가계안정 자금을 지원해 드리는 사업입니다.☞ 제주 도내 어선원 ☞ 어선원 가계안정 자금, 2022년 어선사고 피해 어선원(성산포항, 한림항) 지원금 지급","인력,경영,제주,자금,2022,코로나19,제주특별자치도,어업인,민생경제회복,재난긴급생활지원금,가계안정",코로나19 피해 어선원 가계안정 자금 지원금  지원계획(2차).hwp,지원금,모집종료
